RANGKEMASAN,RONG KEMASAN
RODAHIAS SERPONG,RODA HIAS SERPONG
RONNGOWARSITO,RONGGOWARSITO
RENAWIJAYA,RENA WIJAYA
TONJUNG,TUNJUNG
RESALAKAN,PESALAKAN
RS UMUM,RUMAH SAKIT UMUM
RONGGOWALUYO,RONGGO WALUYO
RW JAYA,RAWA JAYA
RW BUNTU,RAWA BUNTU
RW JULANG,RAWA JULANG
RW SARI,RAWASARI
RAWABALI,RAWA BALI
RSU DOLOK SANGGUL,DOLOK SANGGUL
SAMRATULANGI,SAM RATULANGI
S MOH RAJA,SM RAJA
STADIUN,STADION
ST ,STASIUN 
STASION,STASIUN
STATION CIGANEA,STASION CIGANEA
STASIUN TIM,STASIUN TIMUR
STASIUNASION,STASIUNASIUN
SAMANHUADI,SAMANHUDI
SALEH ALI,KH SOLEH ALI
SCIENTA BOULEVARD,SCIENTIA BOULEVARD
SAMBIROTO,SAMBILOTO
S L TOBING,SL TOBING
SAMRATU LANGI,SAM RATULANGI
SETH ADJIE,SETH ADJI
SP. 7 LAMREUNG,LAMREUNG
SIMP TIGA,SIMPANG TIGA
SISINGAMANGARAJA,SM RAJA
SINGO JOYO,SINGOJOYO
SETIABUDHI,SETIA BUDHI
SEDOYO GEMUH,SEDAYU GEMUH
SRIMBITAN,SRIBITAN
SBY ,SURABAYA 
SOEPRAPTO,SUPRAPTO
SOEKRNO HATTA,SOEKARNO HATTA
SUHARTO,SOEHARTO
SUMAGUNG,SUMMAGUNG
SUROKARTAN,SUROKARSAN
PASAR SUMBERREJO,PASAR SUMBEREJO
SULAEMAN,SULAIMAN
SULTANAGUNG,SULTAN AGUNG
SUNANBONANG,SUNAN BONANG
SUMATRA,SUMATERA
SUKARNO HATTA,SOEKARNO HATTA
SYECH QURO,SYEH QURO
SWAH LIO,SAWAH LIO
DR SOETOMO WELERI,SUTOMO WELERI
T B SIMATUPANG,TB SIMATUPANG
TAMANSARI,TAMAN SARI
TAMRIN,THAMRIN
TANMALAKA,TAN MALAKA
TANDEAN,TENDEAN
TATABUMI,TATA BUMI
TAUFIQURAHMAN,TAUFIQURRAHMAN
TELESONIC,TELESONIK
TERMINAL BUSN SUKABUMI,TERMINAL BIS SUKABUMI
TEMANGUNG,TEMANGGUNG
TOA PEKONG,TEPEKONG
TALANG SIRING,TALANGSIRING
TERS KOPO,TERUSAN KOPO
TJ ,TANJUNG 
TJ BIRA,TANJUNG BIRA
TJ PASIR,TANJUNG PASIR
TJ ANOM,TANJUNG ANOM
TANJUNGANOM,TANJUNG ANOM
TK ,TUKAD 
TK BALIAN,TUKAD BALIAN
TK MUSI,TUKAD MUSI
TK BATANGHARI,TUKAD BATANGHARI
TK PAKERISAN,TUKAD PAKERISAN
TELPON,TELEPON
TLK JAMBE,TELUK JAMBE
TIRTANADI,TIRTA NADI
TIM ,TIMUR 
TIM CICALENGKA,TIMUR CICALENGKA
TIM BALAMOA,TIMUR BALAMOA
TIRTOMUKTI,TIRTO MUKTI
TRIBRATA,TRI BRATA
TUMPEL JATIREJO,TUMAPEL JATIREJO
TMN ,TAMAN 
TMN MAKAM,TAMAN MAKAM
TMN DUTA,TAMAN DUTA
TUGUBARAT,TUGU BARAT
TUEKU UMAR,TEUKU UMAR
URIPSUMOHARJO,URIP SUMOHARJO
W J LALAMENTIK,WJ LALAMENTIK
WACHID HASYIM,WAHID HASYIM
WALISONGO,WALI SONGO
WAGE RUDOLF SUPRATMAN,WR SUPRATMAN
WIRYAATMAJA,WIRYA ATMAJA
 WR , WARUNG 
WR AYU,WARUNG AYU
WR ASEM,WARUNG ASEM
WR BORONG,WARUNG BORONG
WRG ASEM,WARUNG ASEM
WINUNGAN,WINONGAN
WEDURAN,MEDURAN
YOSUDARSO,YOS SUDARSO
YUDHISTIRA,YUDISTIRA
YUDISTRIA,YUDISTIRA
YULIUS USMAN,JULIUS USMAN
JAFRI ZAM,ZAFRI ZAM
